Rainbow Team,Page,Link Text,Link,Status,Problem,Sessions,Org(s)
Blue,https://www.gov.uk/tal-absenoldeb-mabwysiadu,pryd a sut i hawlio,https://www.gov.uk/tal-ac-absenoldeb-mabwysiadu/sut-i-hawlio,404,Not Found,1,Department for Work and Pensions
Blue,https://www.gov.uk/tal-salwch-statudol/cymhwystra,fod â hawl i Dâl Salwch Statudol,https://www.gov.uk/guidance/statutory-sick-pay-how-different-employment-types-infect-what-you-pay#agency-workers,404,Not Found,1,Department for Work and Pensions
Blue,https://www.gov.uk/bonws-nadolig/sut-i-wneud-cais,Gwasanaeth Pensiwn,https://www.gov.uk/contact-pension-centre,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/budd-dal-tai/help-gyda-chostau-tai-eraill,cyfrifiannell budd-daliadau,https://benefits-calculators,DNS Error,Failed to open TCP connection to benefits-calculators:443 (getaddrinfo: Temporary failure in name resolution),0,Department for Work and Pensions
Blue,https://www.gov.uk/budd-dal-tai/rhoi-gwybod-am-newid-mewn-amgylchiadau,Cysylltwch â’ch cyngor,https://www.gov.uk/find-local-Council,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/cap-ar-fudd-daliadau/symiau-cap-ar-fudddaliadau,Lundain,http://directory.londoncouncils.gov.uk,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/costau-byw/biliau-tai-iechyd,edrych a ydych yn gymwys i gael Budd-dal Tai,https://www.gov.uk/budd-dal%20tai,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/costau-byw/costau-gofal-plant-a-mamolaeth,edrychwch a ydych yn gymwys i gael gofal plant am ddim,https://www.gov.uk/ofal-plant-am-ddim-os-ydych-yn-gweithio/gwirio-eich-cymhwystra,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/cymorth-ar-gyfer-llog-morgais/os-bydd-budd-daliadau-stopio,Shelter,http://www.shelter.org.uk/get_advice/your_housing_situation/rent_or_mortgage_worries,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/sut-maer-gwasanaeth-cynhaliaeth-plant-cyfrifo/pryd-y-gall-taliadau-newid,roi gwybod am newid,https://www.gov.uk/gwasanaeth-cynnal%20a%20chadw/newid-amgylchiadau,404,Not Found,0,Child Maintenance and Enforcement Commission
Blue,https://www.gov.uk/tal-absenoldeb-mabwysiadu/cymhwystra,hysbysiad cywir,https://www.gov.uk/tal-ac-absenoldeb-mabwysiadu/sut-i-hawlio,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/tal-salwch-statudol-arweiniad-i-gyflogwyr/hawl,rheolau gwahanol ar gyfer rhai mathau o gyflogaeth,https://www.gov.uk/statutory-sick-pay-how-different-employment-types-affect-what-you-pay-types-affect-what-you-pay,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/tal-salwch-statudol-arweiniad-i-gyflogwyr/rhoi-rhybudd-a-nodynnau-ffitrwydd,nodyn ffitrwydd,https://www.gov.uk/taking-sick-%0Aleave,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/taliad-cymorth-profedigaeth/cymhwysedd,Lwfans Rhiant Gweddw,https://www.gov.uk/lwfans-rhieni-gweddw,404,Not Found,0,Department for Work and Pensions
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/ar-ol-i-chi-wneud-cais-am-orchymyn-llys,Cafcass parenting plan,https://www.cafcass.gov.uk/grown-ups/parenting-plan.aspx,404,Not Found,0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/ar-ol-i-chi-wneud-cais-am-orchymyn-llys,Sorting Out Separation,https://www.sortingoutseparation.org.uk/children-parenting/,Timeout,Failed to open TCP connection to www.sortingoutseparation.org.uk:443 (execution expired),0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/cyfryngu,Cafcass parenting plan,https://www.cafcass.gov.uk/grown-ups/parenting-plan.aspx,404,Not Found,0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/cyfryngu,Sorting Out Separation,https://www.sortingoutseparation.org.uk/children-parenting/,Timeout,Failed to open TCP connection to www.sortingoutseparation.org.uk:443 (execution expired),0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/datrysiad-y-tu-allan-ir-llys,Cafcass parenting plan,https://www.cafcass.gov.uk/grown-ups/parenting-plan.aspx,404,Not Found,0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/datrysiad-y-tu-allan-ir-llys,Sorting Out Separation,https://www.sortingoutseparation.org.uk/children-parenting/,Timeout,Failed to open TCP connection to www.sortingoutseparation.org.uk:443 (execution expired),0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/gwneud-cais-am-orchymyn-llys,Cafcass parenting plan,https://www.cafcass.gov.uk/grown-ups/parenting-plan.aspx,404,Not Found,0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/gwneud-cais-am-orchymyn-llys,Sorting Out Separation,https://www.sortingoutseparation.org.uk/children-parenting/,Timeout,Failed to open TCP connection to www.sortingoutseparation.org.uk:443 (execution expired),0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/newid-neu-orfodi-gorchymyn,Cafcass parenting plan,https://www.cafcass.gov.uk/grown-ups/parenting-plan.aspx,404,Not Found,0,Cafcass
Blue,https://www.gov.uk/trefniadau-plant-ysgariad/newid-neu-orfodi-gorchymyn,Sorting Out Separation,https://www.sortingoutseparation.org.uk/children-parenting/,Timeout,Failed to open TCP connection to www.sortingoutseparation.org.uk:443 (execution expired),0,Cafcass
